CLUSTER 0
 - members:
        username: erica (0.359085)                 repo: rails/rails (17.6%)
        username: swdunlop (0.184783)              repo: rtomayko/tilt (6.8%)
        username: rhulse (0.184402)                repo: cucumber/cucumber (6.8%)
        username: a1ip (0.184402)                  repo: meteor/meteor (6.8%)
        username: gautammalhotra (0.184402)        repo: rack/rack (6.8%)
        username: CodeBlock (0.181563)             repo: rubinius/rubinius (6.8%)
        username: hassy (0.181535)                 repo: typhoeus/typhoeus (6.8%)
        username: mattknox (0.178964)              repo: plataformatec/devise (6.8%)
        username: probablycorey (0.177999)         repo: macournoyer/pusher (6.8%)
        username: nrnrnr (0.176388)                repo: pivotal/jasmine (6.8%)
        username: ihh (0.175810)                   repo: twitter/cassandra (6.8%)
        username: cypher (0.175261)                repo: notahat/machinist (6.8%)
        username: nickoneill (0.174136)            repo: robey/kestrel (6.8%)
        username: samsoffes (0.173380)             repo: wycats/thor (6.8%)
        username: jeffh (0.172728)                 repo: ieure/sicp (6.8%)
        username: atebits (0.171432)               repo: rubygems/rubygems.org (6.8%)
        username: petere (0.170959)                repo: tmm1/rbtrace (6.8%)
        username: eviltwin (0.170020)              repo: wycats/bundler (6.8%)
        username: alloy (0.169807)                 repo: pieter/gitx (6.8%)
        username: ignu (0.169553)                  repo: CocoaPods/CocoaPods (5.4%)
        username: neilconway (0.168053)            repo: pry/pry (5.4%)
        username: javier (0.167421)                repo: joewalnes/smoothie (5.4%)
        username: justin-ardini (0.166511)         repo: jeremyevans/home_run (5.4%)
        username: avdi (0.165800)                  repo: edgecase/ruby_koans (5.4%)
        username: bob-smith (0.165775)             repo: chriseppstein/compass (5.4%)
        username: zc00gii (0.164687)               repo: jbarnette/johnson (5.4%)
        username: jaked (0.164124)                 repo: ileitch/hijack (5.4%)
        username: joshbuddy (0.163637)             repo: brynary/webrat (5.4%)
        username: arkhi (0.163176)                 repo: technicalpickles/jeweler (5.4%)
        username: angelsk (0.163176)               repo: brynary/rack-test (5.4%)
        username: avandecreme (0.163176)           repo: intridea/tweetstream (5.4%)
        username: appcelerator (0.162833)          repo: github/github-services (5.4%)
        username: chadcrowell (0.162618)           repo: rack/rack-contrib (5.4%)
        username: Sutto (0.162040)                 repo: defunkt/textmate.el (5.4%)
        username: dgrijalva (0.160080)             repo: javan/whenever (5.4%)
        username: nacht (0.159663)                 repo: thoughtbot/paperclip (5.4%)
        username: snapframework (0.159508)         repo: railsbp/rails_best_practices (5.4%)
        username: duckduckgo (0.156119)            repo: thoughtbot/clearance (5.4%)
        username: m336fnr (0.149850)               repo: adamwiggins/rush (5.4%)
        username: rogerrohrbach (0.145133)         repo: ttilley/fssm (5.4%)
        username: elixir-lang (0.144982)           repo: johnezang/JSONKit (5.4%)

CLUSTER 1
 - members:
        username: quicklisp (0.377201)              repo: rails/rails (29.5%)
        username: thomasgallagher (0.354866)        repo: mxcl/homebrew (19.2%)
        username: 37signals (0.340084)              repo: cucumber/cucumber (17.9%)
        username: ryanb (0.331868)                  repo: jnicklas/capybara (14.1%)
        username: tenderlove (0.330895)             repo: defunkt/resque (14.1%)
        username: marijnh (0.330572)                repo: sinatra/sinatra (12.8%)
        username: scottjg (0.307655)                repo: defunkt/cijoe (11.5%)
        username: diaspora (0.300229)               repo: ruby/ruby (11.5%)
        username: carldr (0.276573)                 repo: javan/whenever (10.3%)
        username: nkallen (0.273744)                repo: justinfrench/formtastic (10.3%)
        username: edjames (0.264826)                repo: cucumber/cucumber-rails (10.3%)
        username: nixeagle (0.250358)               repo: mislav/will_paginate (9.0%)
        username: tomash (0.242357)                 repo: brynary/webrat (9.0%)
        username: harajune (0.226805)               repo: FooBarWidget/passenger (9.0%)
        username: mattwynne (0.223282)              repo: celluloid/celluloid (9.0%)
        username: nathansobo (0.219895)             repo: rack/rack (9.0%)
        username: andrespagella (0.219072)          repo: puma/puma (9.0%)
        username: drogus (0.218560)                 repo: pivotal/jasmine (9.0%)
        username: ruby (0.211531)                   repo: carlhuda/bundler (9.0%)
        username: papercavalier (0.210752)          repo: jcasimir/draper (9.0%)
        username: lifo (0.210487)                   repo: brianmario/mysql2 (9.0%)
        username: bakkdoor (0.209485)               repo: edgecase/ruby_koans (7.7%)
        username: inakata (0.205628)                repo: brynary/rack-test (7.7%)
        username: tylo42 (0.205628)                 repo: thoughtbot/paperclip (7.7%)
        username: lukemelia (0.204966)              repo: joyent/node (7.7%)
        username: qrush (0.204389)                  repo: pilu/web-app-theme (7.7%)
        username: joestump (0.203972)               repo: rtomayko/tilt (7.7%)
        username: ngenworks (0.203239)              repo: eventmachine/eventmachine (7.7%)
        username: lukego (0.202581)                 repo: faye/faye (7.7%)
        username: 3b (0.202315)                     repo: rubinius/rubinius (7.7%)
        username: marckysharky (0.193168)           repo: technoweenie/faraday (7.7%)
        username: yob (0.192389)                    repo: tarcieri/cool.io (7.7%)
        username: ja (0.190633)                     repo: dchelimsky/rspec (7.7%)
        username: gilesbowkett (0.189770)           repo: defunkt/fakefs (7.7%)
        username: benlovell (0.187680)              repo: rubygems/rubygems.org (7.7%)
        username: pauldix (0.185097)                repo: foca/integrity (7.7%)
        username: scrooloose (0.185086)             repo: binarylogic/authlogic (7.7%)
        username: silicon (0.184402)                repo: josevalim/inherited_resources (6.4%)
        username: mocomatics (0.184402)             repo: ryanb/nifty-generators (6.4%)
        username: therealadam (0.180228)            repo: seancribbs/webmachine-ruby (6.4%)
        username: carllerche (0.178559)             repo: travis-ci/travis-ci (6.4%)
        username: coreyhaines (0.178151)            repo: visionmedia/express (6.4%)
        username: caius (0.176967)                  repo: schacon/showoff (6.4%)
        username: cwninja (0.175654)                repo: harukizaemon/hamster (6.4%)
        username: samofals (0.173789)               repo: robbyrussell/oh-my-zsh (6.4%)
        username: pvh (0.172051)                    repo: bblimke/webmock (6.4%)
        username: josephwilk (0.171607)             repo: Shopify/active_merchant (6.4%)
        username: tomafro (0.171318)                repo: jashkenas/coffee-script (6.4%)
        username: hohwald (0.171071)                repo: augustl/net-http-cheat-sheet (6.4%)
        username: strzalek (0.169388)               repo: intridea/grape (6.4%)
        username: kch (0.168379)                    repo: avdi/sbpprb (6.4%)
        username: kschiess (0.167972)               repo: nkallen/cache-money (6.4%)
        username: mperham (0.167558)                repo: mmangino/facebooker (6.4%)
        username: randyrobertson (0.167421)         repo: lifo/docrails (6.4%)
        username: michael-romer (0.167421)          repo: noahd1/oink (6.4%)
        username: chad (0.166328)                   repo: freelancing-god/thinking-sphinx (6.4%)
        username: simplybusiness (0.165770)         repo: defunkt/mustache (6.4%)
        username: tlossen (0.165673)                repo: 37signals/pow (6.4%)
        username: tater (0.164942)                  repo: myronmarston/vcr (6.4%)
        username: feyeleanor (0.164319)             repo: nathansobo/screw-unit (6.4%)
        username: noahd1 (0.164096)                 repo: relevance/blue-ridge (6.4%)
        username: lukaso (0.164001)                 repo: plataformatec/devise (6.4%)
        username: FrictionalGames (0.163176)        repo: fog/fog (6.4%)
        username: prakashsejwani (0.163176)         repo: amatsuda/kaminari (6.4%)
        username: Aze (0.163176)                    repo: defunkt/github-gem (6.4%)
        username: kbansner (0.163176)               repo: nathanmarz/storm (6.4%)
        username: pdwryst (0.163176)                repo: rails/arel (6.4%)
        username: dnurzynski (0.163176)             repo: ffi/ffi (6.4%)
        username: rsim (0.163176)                   repo: mperham/dalli (6.4%)
        username: NZKoz (0.162679)                  repo: sparklemotion/nokogiri (6.4%)
        username: austinhaas (0.161963)             repo: mruby/mruby (5.1%)
        username: mletterle (0.161874)              repo: dchelimsky/rspec-rails (5.1%)
        username: benstein (0.161486)               repo: wayneeseguin/rvm (5.1%)
        username: citizen428 (0.159448)             repo: matthewd/capuchin (5.1%)
        username: lrbalt (0.157869)                 repo: technomancy/emacs-starter-kit (5.1%)
        username: timcowlishaw (0.156100)           repo: dchelimsky/rspec-tmbundle (5.1%)
        username: vu3rdd (0.145955)                 repo: ileitch/hijack (5.1%)
        username: nuclearsandwich (0.144982)        repo: madrobby/zepto (5.1%)

CLUSTER 2
 - members:
        username: Raynes (0.339219)               repo: rails/rails (36.5%)
        username: headius (0.321950)              repo: dchelimsky/rspec (24.3%)
        username: dtsato (0.317824)               repo: sinatra/sinatra (23.0%)
        username: jnunemaker (0.309908)           repo: mxcl/homebrew (18.9%)
        username: bcluca (0.286326)               repo: cucumber/cucumber (17.6%)
        username: seeweer (0.275520)              repo: rubinius/rubinius (17.6%)
        username: joachimm (0.269307)             repo: brynary/webrat (16.2%)
        username: dhh (0.256230)                  repo: carlhuda/bundler (16.2%)
        username: tpope (0.254643)                repo: rack/rack (14.9%)
        username: brynary (0.253506)              repo: wycats/bundler (14.9%)
        username: al3x (0.245136)                 repo: mislav/will_paginate (13.5%)
        username: derekgr (0.227447)              repo: redis/redis-rb (13.5%)
        username: josevalim (0.227150)            repo: tobi/delayed_job (13.5%)
        username: raggi (0.224914)                repo: rubygems/rubygems.org (13.5%)
        username: ddk50 (0.219779)                repo: mruby/mruby (12.2%)
        username: dchelimsky (0.218969)           repo: jnicklas/capybara (12.2%)
        username: martinbtt (0.218655)            repo: nkallen/cache-money (12.2%)
        username: JEG2 (0.202400)                 repo: lifo/docrails (12.2%)
        username: sinatra (0.200815)              repo: fog/fog (12.2%)
        username: digg (0.196132)                 repo: defunkt/github-gem (12.2%)
        username: joshknowles (0.193397)          repo: brynary/rack-bug (12.2%)
        username: squil (0.192362)                repo: foca/integrity (12.2%)
        username: Ttech (0.191118)                repo: josevalim/inherited_resources (10.8%)
        username: ujihisa (0.190983)              repo: technicalpickles/jeweler (10.8%)
        username: snewman (0.190381)              repo: btakita/rr (10.8%)
        username: taryneast (0.190062)            repo: relevance/blue-ridge (10.8%)
        username: apeiros (0.189472)              repo: defunkt/resque (10.8%)
        username: matz (0.187903)                 repo: robey/kestrel (10.8%)
        username: tarcieri (0.185695)             repo: binarylogic/authlogic (10.8%)
        username: radicalise (0.184550)           repo: wayneeseguin/rvm (9.5%)
        username: angelkurisu (0.184402)          repo: chriseppstein/compass (9.5%)
        username: luis-ca (0.184190)              repo: tmm1/amqp (9.5%)
        username: mattetti (0.183416)             repo: drnic/ruby-on-rails-tmbundle (9.5%)
        username: evanphx (0.183354)              repo: wycats/moneta (9.5%)
        username: jeremy (0.180537)               repo: ezmobius/nanite (9.5%)
        username: james (0.180524)                repo: jnunemaker/httparty (9.5%)
        username: nateware (0.177938)             repo: noahd1/oink (9.5%)
        username: lwmruby (0.176934)              repo: justinfrench/formtastic (9.5%)
        username: garethr (0.176204)              repo: jimweirich/rake (9.5%)
        username: asmala (0.173789)               repo: puma/puma (9.5%)
        username: hanwen (0.173789)               repo: thoughtbot/shoulda (9.5%)
        username: nemustech (0.173789)            repo: wycats/thor (9.5%)
        username: jcrosby (0.172024)              repo: sparklemotion/nokogiri (9.5%)
        username: joefiorini (0.171526)           repo: brynary/testjour (9.5%)
        username: zachinglis (0.171417)           repo: rtomayko/rdiscount (9.5%)
        username: mental (0.171247)               repo: macournoyer/thin (9.5%)
        username: whitequark (0.170579)           repo: dchelimsky/rspec-rails (8.1%)
        username: danlucraft (0.170209)           repo: chneukirchen/rack (8.1%)
        username: imanel (0.169733)               repo: thoughtbot/clearance (8.1%)
        username: squadette (0.169267)            repo: bmabey/email-spec (8.1%)
        username: kabus (0.168836)                repo: igrigorik/em-websocket (8.1%)
        username: grempe (0.168155)               repo: rubyist/aasm (8.1%)
        username: joshsusser (0.167943)           repo: sporkrb/spork (8.1%)
        username: croaky (0.167708)               repo: intridea/omniauth (8.1%)
        username: spiceee (0.167421)              repo: collectiveidea/delayed_job (8.1%)
        username: yaroslav (0.166840)             repo: newrelic/rpm (8.1%)
        username: frsyuki (0.166415)              repo: celluloid/celluloid (8.1%)
        username: reinh (0.166387)                repo: entp/astrotrain (8.1%)
        username: thechrisoshow (0.166003)        repo: mojombo/grit (8.1%)
        username: floere (0.165230)               repo: thoughtbot/factory_girl (8.1%)
        username: nicksieger (0.164583)           repo: mikel/mail (8.1%)
        username: abedra (0.164555)               repo: rubygems/rubygems (8.1%)
        username: weplay (0.164096)               repo: ddollar/foreman (8.1%)
        username: doubleencore (0.163176)         repo: wvanbergen/request-log-analyzer (8.1%)
        username: yugui (0.162973)                repo: nathansobo/screw-unit (8.1%)
        username: LauJensen (0.160079)            repo: typhoeus/typhoeus (8.1%)
        username: daviddavis (0.159725)           repo: mongoid/mongoid (8.1%)
        username: hpoydar (0.157975)              repo: plataformatec/devise (8.1%)
        username: trisberg (0.157869)             repo: sstephenson/rbenv (8.1%)
        username: calvis (0.157849)               repo: bmizerany/sinatra (8.1%)
        username: jochu (0.154935)                repo: lifo/cramp (8.1%)
        username: tcrayford (0.154772)            repo: brianmario/yajl-ruby (8.1%)
        username: Chousuke (0.152563)             repo: webmat/git_remote_branch (8.1%)
        username: talios (0.145580)               repo: ngauthier/hydra (8.1%)

CLUSTER 3
 - members:
        username: richhickey (1.000000)             repo: clojure/clojure (40.2%)
        username: pvdb (0.641469)                   repo: richhickey/clojure (37.9%)
        username: rails (0.457087)                  repo: technomancy/leiningen (36.8%)
        username: technomancy (0.442083)            repo: richhickey/clojure-contrib (31.0%)
        username: tmm1 (0.414103)                   repo: weavejester/compojure (28.7%)
        username: weavejester (0.372638)            repo: ztellman/aleph (28.7%)
        username: wycats (0.346088)                 repo: mmcgrana/ring (27.6%)
        username: mmcgrana (0.338676)               repo: clojure/clojurescript (27.6%)
        username: laurentpetit (0.333578)           repo: fogus/marginalia (24.1%)
        username: drnic (0.307228)                  repo: clojure/core.logic (23.0%)
        username: hiredman (0.248093)               repo: cgrand/enlive (20.7%)
        username: fogus (0.233161)                  repo: liebke/incanter (20.7%)
        username: swannodette (0.232356)            repo: LauJensen/clojureql (19.5%)
        username: amalloy (0.229255)                repo: pallet/pallet (19.5%)
        username: cgrand (0.219442)                 repo: technomancy/swank-clojure (18.4%)
        username: jm (0.214066)                     repo: ztellman/lamina (17.2%)
        username: sandal (0.211130)                 repo: technomancy/clojure-mode (17.2%)
        username: hugoduncan (0.208193)             repo: aboekhoff/congomongo (16.1%)
        username: mtodd (0.205736)                  repo: stuartsierra/lazytest (16.1%)
        username: jamesgolick (0.205049)            repo: cgrand/moustache (16.1%)
        username: basho (0.204137)                  repo: clojure/clojure-contrib (16.1%)
        username: stuarthalloway (0.201494)         repo: ztellman/penumbra (16.1%)
        username: ryanking (0.199670)               repo: nathanmarz/cascalog (14.9%)
        username: pager (0.197138)                  repo: nathanmarz/storm (14.9%)
        username: nathanmarz (0.195087)             repo: brentonashworth/one (14.9%)
        username: cemerick (0.190591)               repo: flatland/cake (14.9%)
        username: ztellman (0.190158)               repo: noir-clojure/noir (13.8%)
        username: psoo (0.186878)                   repo: rails/rails (13.8%)
        username: amitrathore (0.185960)            repo: ato/clojars-web (13.8%)
        username: liebke (0.185158)                 repo: pallet/ritz (13.8%)
        username: briancarper (0.184994)            repo: cgrand/parsley (13.8%)
        username: ollierattue (0.184402)            repo: daveray/seesaw (13.8%)
        username: gigasquid (0.183906)              repo: flatland/useful (13.8%)
        username: stuartsierra (0.183355)           repo: clojure/tools.nrepl (12.6%)
        username: Chouser (0.181837)                repo: liebke/avout (12.6%)
        username: willhui (0.181502)                repo: dakrone/cheshire (12.6%)
        username: sritchie (0.181246)               repo: jochu/clojure-mode (12.6%)
        username: ninjudd (0.180037)                repo: quil/quil (12.6%)
        username: slyrus (0.179965)                 repo: flatland/classlojure (12.6%)
        username: ieure (0.179887)                  repo: stuartsierra/cljque (12.6%)
        username: manuel (0.178904)                 repo: relevance/labrepl (12.6%)
        username: methodmissing (0.178834)          repo: scgilardi/slingshot (12.6%)
        username: andrewgarner (0.178773)           repo: technomancy/durendal (11.5%)
        username: dbyrne (0.178747)                 repo: rosado/clj-processing (11.5%)
        username: davidsantiago (0.178690)          repo: amitrathore/swarmiji (11.5%)
        username: dstrelau (0.178140)               repo: mmcgrana/clj-stacktrace (11.5%)
        username: paulca (0.177615)                 repo: duelinmarkers/clj-record (11.5%)
        username: krl (0.176973)                    repo: strangeloop/clojurewest2012-slides (11.5%)
        username: bmabey (0.173283)                 repo: relevance/mycroft (11.5%)
        username: michalmarczyk (0.172663)          repo: hiredman/clojurebot (11.5%)
        username: frenchy64 (0.171502)              repo: aphyr/riemann (11.5%)
        username: lancepantz (0.171111)             repo: raganwald/homoiconic (11.5%)
        username: jasonjckn (0.171106)              repo: dakrone/clj-http (11.5%)
        username: jwr (0.170190)                    repo: clojure/core.match (11.5%)
        username: dakrone (0.168611)                repo: technomancy/emacs-starter-kit (10.3%)
        username: devn (0.168070)                   repo: tcrayford/clojure-refactoring (10.3%)
        username: ohpauleez (0.168059)              repo: trptcolin/reply (10.3%)
        username: tbradshaw (0.167421)              repo: danlarkin/clojure-json (10.3%)
        username: amcnamara (0.165997)              repo: harukizaemon/hamster (10.3%)
        username: codeslinger (0.165959)            repo: hugoduncan/criterium (10.3%)
        username: erishine (0.165770)               repo: brentonashworth/sandbar (10.3%)
        username: jduey (0.165493)                  repo: frenchy64/typed-clojure (10.3%)
        username: apgwoz (0.163323)                 repo: richard-lyman/amotoen (10.3%)
        username: aav (0.163176)                    repo: flatland/wakeful (10.3%)
        username: smuehlst (0.163176)               repo: gcv/appengine-magic (10.3%)
        username: kotarak (0.163176)                repo: technomancy/robert-hooke (10.3%)
        username: MayDaniel (0.163113)              repo: cemerick/pomegranate (10.3%)
        username: sbfaulkner (0.162322)             repo: liebke/cljr (10.3%)
        username: drewr (0.161904)                  repo: jonase/kibit (10.3%)
        username: Tigger65 (0.161053)               repo: ztellman/gloss (10.3%)
        username: scgilardi (0.159638)              repo: technomancy/slamhound (10.3%)
        username: Cam1337 (0.159154)                repo: flatland/lazybot (10.3%)
        username: brentonashworth (0.158398)        repo: relevance/clojure-conj (10.3%)
        username: rosado (0.156820)                 repo: arohner/scriptjure (10.3%)
        username: tomfaulhaber (0.156671)           repo: marick/Midje (10.3%)
        username: raek (0.156660)                   repo: cemerick/nREPL (10.3%)
        username: rosejn (0.155748)                 repo: briancarper/cow-blog (10.3%)
        username: jColeChanged (0.154685)           repo: technomancy/serializable-fn (10.3%)
        username: ordnungswidrig (0.154331)         repo: fogus/unk (9.2%)
        username: benashford (0.149850)             repo: jduey/conduit (9.2%)
        username: Licenser (0.149415)               repo: ileitch/hijack (9.2%)
        username: AlexBaranosky (0.148931)          repo: brynary/webrat (9.2%)
        username: daveray (0.147670)                repo: mmcgrana/clj-json (9.2%)
        username: hdurer (0.146418)                 repo: schacon/showoff (9.2%)
        username: sergey-miryanov (0.145855)        repo: macourtney/Conjure (9.2%)
        username: paulbutcher (0.145133)            repo: fogus/clache (9.2%)
        username: benares98 (0.144982)              repo: GeorgeJahad/cdt (9.2%)

CLUSTER 4
 - members:
        username: adamwiggins (0.352386)            repo: opscode/chef (11.9%)
        username: codahale (0.316409)               repo: sinatra/sinatra (11.9%)
        username: fsattler (0.277208)               repo: rubygems/rubygems.org (11.9%)
        username: lazyatom (0.272904)               repo: bmizerany/sinatra (10.4%)
        username: lrug (0.269671)                   repo: chad/gitjour (10.4%)
        username: ezmobius (0.266020)               repo: brynary/webrat (9.0%)
        username: thoughtbot (0.240345)             repo: weavejester/compojure (9.0%)
        username: ibdknox (0.225477)                repo: tobi/delayed_job (9.0%)
        username: PhilT (0.222048)                  repo: thoughtbot/factory_girl (9.0%)
        username: b (0.215958)                      repo: rubinius/rubinius (9.0%)
        username: videlalvaro (0.214420)            repo: dchelimsky/rspec (9.0%)
        username: jboner (0.213973)                 repo: defunkt/fakefs (9.0%)
        username: jnovatnack (0.212935)             repo: FooBarWidget/passenger (7.5%)
        username: aslakhellesoy (0.210394)          repo: technomancy/leiningen (7.5%)
        username: globaldev (0.207198)              repo: redis/redis-rb (7.5%)
        username: h-lame (0.204732)                 repo: opscode/cookbooks (7.5%)
        username: ciaran (0.203036)                 repo: ezmobius/nanite (7.5%)
        username: nikodemus (0.196338)              repo: jeremyevans/sequel (7.5%)
        username: kenfodder (0.192893)              repo: antirez/redis (7.5%)
        username: filiptepper (0.192815)            repo: justinfrench/formtastic (7.5%)
        username: jimweirich (0.192534)             repo: richhickey/clojure (7.5%)
        username: jnewland (0.190195)               repo: fog/fog (7.5%)
        username: halorgium (0.188740)              repo: tarcieri/reia (7.5%)
        username: blindglobe (0.188192)             repo: defunkt/resque (7.5%)
        username: hanshuebner (0.186391)            repo: joshuaclayton/blueprint-css (7.5%)
        username: vito (0.186199)                   repo: foca/integrity (7.5%)
        username: roidrage (0.185936)               repo: adamwiggins/rest-client (7.5%)
        username: dysinger (0.185347)               repo: pvdb/xpca (7.5%)
        username: particle (0.184402)               repo: dchelimsky/rspec-rails (6.0%)
        username: ddollar (0.181073)                repo: wayneeseguin/rvm (6.0%)
        username: foca (0.179536)                   repo: technomancy/emacs-starter-kit (6.0%)
        username: joshuaclayton (0.179057)          repo: chneukirchen/rack (6.0%)
        username: xach (0.175621)                   repo: 3b/package-local-nicknames (6.0%)
        username: jmhodges (0.173831)               repo: mxcl/homebrew (6.0%)
        username: akapav (0.173789)                 repo: jcrosby/cloudkit (6.0%)
        username: jacqui (0.172639)                 repo: sr/git-wiki (6.0%)
        username: luismbo (0.172105)                repo: adamwiggins/rush (6.0%)
        username: graemerocher (0.169940)           repo: francois/piston (6.0%)
        username: yhancik (0.169617)                repo: crafterm/sprinkle (6.0%)
        username: cinsoft (0.169614)                repo: erlang/otp (6.0%)
        username: lynaghk (0.169404)                repo: pilu/web-app-theme (6.0%)
        username: seanohalpin (0.169340)            repo: collectiveidea/delayed_job (6.0%)
        username: richdougherty (0.168510)          repo: jamesgolick/rollout (6.0%)
        username: erikh (0.168429)                  repo: jnicklas/capybara (6.0%)
        username: MacRuby (0.168379)                repo: mojombo/grit (6.0%)
        username: gshutler (0.167421)               repo: opscode/ohai (6.0%)
        username: burkemw3 (0.167421)               repo: Caged/gitnub (6.0%)
        username: eugeneiiim (0.167421)             repo: cucumber/cucumber (6.0%)
        username: sykopomp (0.166318)               repo: rack/rack (6.0%)
        username: pc (0.165711)                     repo: rubygems/rubygems (6.0%)
        username: burtbeckwith (0.165450)           repo: eventmachine/eventmachine (6.0%)
        username: mkhl (0.165444)                   repo: ruby/ruby (6.0%)
        username: matsadler (0.165385)              repo: codahale/metrics (6.0%)
        username: bruce (0.164517)                  repo: plataformatec/devise (6.0%)
        username: jr (0.164171)                     repo: sstephenson/rbenv (6.0%)
        username: wesabe (0.164060)                 repo: bartman/git-wip (6.0%)
        username: amar-shah (0.164001)              repo: defunkt/github-gem (6.0%)
        username: laszpio (0.163176)                repo: thoughtbot/shoulda (6.0%)
        username: iamruinous (0.163176)             repo: lazyatom/vanilla-rb (6.0%)
        username: takeoutweight (0.162359)          repo: sstephenson/ruby-build (6.0%)
        username: kelseyhightower (0.157869)        repo: arya/bluepill (6.0%)
        username: tchaffee (0.157869)               repo: robey/kestrel (6.0%)
        username: petems (0.153093)                 repo: quicklisp/quicklisp-projects (6.0%)
        username: mziaja (0.149850)                 repo: tobi/clarity (6.0%)
        username: cpoo22 (0.149850)                 repo: bruce/keyword_search (6.0%)
        username: ant0 (0.149850)                   repo: mojombo/jekyll (6.0%)
        username: joshrotenberg (0.145263)          repo: clojure/clojurescript (6.0%)

CLUSTER 5
 - members:
        username: technoweenie (0.386874)             repo: tobi/delayed_job (9.6%)
        username: bmizerany (0.377770)                repo: schacon/showoff (8.2%)
        username: Laurainne (0.332986)                repo: erlang/otp (8.2%)
        username: dhoppe (0.304684)                   repo: opscode/chef (8.2%)
        username: ice799 (0.289869)                   repo: assaf/vanity (8.2%)
        username: pedro (0.274735)                    repo: pjhyett/github-services (8.2%)
        username: robsimmons (0.273552)               repo: bmizerany/sinatra (8.2%)
        username: wakatara (0.269911)                 repo: adamwiggins/rest-client (8.2%)
        username: xian (0.269307)                     repo: wycats/bundler (8.2%)
        username: sebastianbergmann (0.262748)        repo: dchelimsky/rspec-rails (6.8%)
        username: soba1104 (0.250709)                 repo: opscode/cookbooks (6.8%)
        username: pjhyett (0.248829)                  repo: defunkt/cijoe (6.8%)
        username: erskinedesign (0.245161)            repo: jnunemaker/httparty (6.8%)
        username: orionz (0.224731)                   repo: elight/coulda (5.5%)
        username: maxlapshin (0.224537)               repo: ileitch/hijack (5.5%)
        username: nakajima (0.221875)                 repo: chneukirchen/bacon (5.5%)
        username: pkhuong (0.211348)                  repo: rack/rack-contrib (5.5%)
        username: opscode (0.210510)                  repo: javan/whenever (5.5%)
        username: spriebsch (0.209874)                repo: schacon/ticgit (5.5%)
        username: masterzen (0.209874)                repo: atmos/hancock (5.5%)
        username: sr (0.209659)                       repo: mongodb/mongo (5.5%)
        username: jamis (0.209351)                    repo: intridea/omniauth (5.5%)
        username: archaelus (0.208481)                repo: extend/cowboy (5.5%)
        username: philogb (0.200745)                  repo: wycats/merb-core (5.5%)
        username: karmi (0.199490)                    repo: github/develop.github.com (5.5%)
        username: moomerman (0.198199)                repo: rails/rails (5.5%)
        username: cliffmoon (0.193399)                repo: bmizerany/beldam (5.5%)
        username: ngerakines (0.192517)               repo: entp/astrotrain (5.5%)
        username: IanVaughan (0.188261)               repo: rtomayko/shotgun (5.5%)
        username: pius (0.187905)                     repo: mojombo/grit (5.5%)
        username: kevsmith (0.185912)                 repo: grempe/amazon-ec2 (5.5%)
        username: saturnflyer (0.185163)              repo: defunkt/rip (5.5%)
        username: technicalpickles (0.184560)         repo: defunkt/mustache (5.5%)
