CLUSTER 0
 - members:
        username: richhickey (1.000000)                 repo: joyent/node (118)
        username: amalloy (0.229255)                    repo: KirinDave/fuzed (32)
        username: Caged (0.228644)                      repo: toolmantim/bananajour (32)
        username: tlrobinson (0.228268)                 repo: antirez/linenoise (31)
        username: nealpoole (0.227613)                  repo: rack/rack-contrib (31)
        username: darius (0.227479)                     repo: igrigorik/em-websocket (31)
        username: lojjic (0.227452)                     repo: crafterm/sprinkle (31)
        username: derekgr (0.227447)                    repo: intridea/grape (31)
        username: josevalim (0.227150)                  repo: mikel/mail (31)
        username: misza222 (0.226855)                   repo: pluginaweek/state_machine (31)
        username: MPiccinato (0.226855)                 repo: travis-ci/travis-ci (30)
        username: harajune (0.226805)                   repo: Modernizr/Modernizr (30)
        username: jchris (0.226276)                     repo: wycats/merb-core (30)
        username: ibdknox (0.225477)                    repo: b4winckler/macvim (30)
        username: Marak (0.225423)                      repo: celluloid/celluloid (30)
        username: bradfitz (0.225048)                   repo: visionmedia/git-extras (30)
        username: raggi (0.224914)                      repo: pauldix/feedzirra (30)
        username: orionz (0.224731)                     repo: kanwei/algorithms (30)
        username: waynemoore (0.224648)                 repo: stubbornella/oocss (30)
        username: maxlapshin (0.224537)                 repo: tmm1/rbtrace (30)
        username: josh (0.224322)                       repo: mitchellh/vagrant (30)
        username: sstephenson (0.224149)                repo: jnunemaker/twitter (30)
        username: kristoferbaxter (0.223923)            repo: jchris/couchrest (30)
        username: ysks (0.223822)                       repo: wycats/handlebars.js (29)
        username: mattwynne (0.223282)                  repo: brynary/rack-test (29)
        username: jpf (0.222974)                        repo: igrigorik/em-http-request (29)
        username: ripienaar (0.222723)                  repo: slact/nginx_http_push_module (29)
        username: ajaswa (0.222155)                     repo: jamesgolick/rollout (29)
        username: PhilT (0.222048)                      repo: twitter/twui (29)
        username: nakajima (0.221875)                   repo: apenwarr/sshuttle (29)
        username: whymirror (0.220689)                  repo: ddollar/foreman (29)
        username: experience (0.220159)                 repo: joyent/libuv (29)
        username: nathansobo (0.219895)                 repo: chad/gitjour (29)
        username: graydon (0.219883)                    repo: thoughtbot/shoulda (29)
        username: timblair (0.219811)                   repo: joyent/http-parser (29)
        username: ddk50 (0.219779)                      repo: twitter/cassandra (29)
        username: cgrand (0.219442)                     repo: kripken/emscripten (29)
        username: kangax (0.219280)                     repo: nathansobo/treetop (29)
        username: bos (0.219149)                        repo: holman/spark (29)
        username: andrespagella (0.219072)              repo: dchelimsky/rspec-rails (28)
        username: danopia (0.219004)                    repo: jeremyevans/home_run (28)
        username: dchelimsky (0.218969)                 repo: wayneeseguin/rvm (28)
        username: martinbtt (0.218655)                  repo: soveran/ohm (28)
        username: drogus (0.218560)                     repo: jeresig/processing-js (28)
        username: davglass (0.218507)                   repo: drnic/ruby-on-rails-tmbundle (28)
        username: froydnj (0.217413)                    repo: twitter/gizzard (28)
        username: orderedlist (0.217403)                repo: lsegal/yard (28)
        username: danwrong (0.216641)                   repo: jordansissel/fpm (28)
        username: holman (0.216611)                     repo: hassox/warden (28)
        username: kastner (0.216362)                    repo: fictorial/redis-node-client (28)
        username: b (0.215958)                          repo: jeremyevans/sequel (28)
        username: pquerna (0.215717)                    repo: necolas/normalize.css (28)
        username: robey (0.215545)                      repo: amatsuda/kaminari (28)
        username: DTrejo (0.215351)                     repo: defunkt/gist (28)
        username: pivotal (0.215215)                    repo: jamesgolick/friendly (28)
        username: msantos (0.215042)                    repo: defunkt/facebox (28)
        username: videlalvaro (0.214420)                repo: evan/memcached (28)
        username: jm (0.214066)                         repo: cloudhead/less.js (28)
        username: jboner (0.213973)                     repo: mozilla/pdf.js (28)
        username: jnovatnack (0.212935)                 repo: aanand/deadweight (28)
        username: ruby (0.211531)                       repo: mruby/mruby (27)
        username: pkhuong (0.211348)                    repo: mynyml/watchr (27)
        username: brianmario (0.211139)                 repo: guard/guard (27)
        username: sandal (0.211130)                     repo: madrobby/emile (27)
        username: papercavalier (0.210752)              repo: mathiasbynens/dotfiles (27)
        username: williame (0.210690)                   repo: mzsanford/twitter-text-rb (27)
        username: opscode (0.210510)                    repo: entp/astrotrain (27)
        username: lifo (0.210487)                       repo: opscode/cookbooks (27)
        username: aslakhellesoy (0.210394)              repo: josephg/ShareJS (27)
        username: voodootikigod (0.210044)              repo: liebke/incanter (27)
        username: bofh (0.209874)                       repo: rtomayko/ronn (27)
        username: spriebsch (0.209874)                  repo: assaf/zombie (27)
        username: masterzen (0.209874)                  repo: macournoyer/pusher (27)
        username: sr (0.209659)                         repo: defunkt/dotjs (27)
        username: bakkdoor (0.209485)                   repo: arya/bluepill (27)
        username: jamis (0.209351)                      repo: postrank-labs/goliath (27)
        username: rsc (0.209263)                        repo: timrwood/moment (27)
        username: johndwells (0.209070)                 repo: mojombo/ernie (27)
        username: stack72 (0.208661)                    repo: mojombo/bert (27)
        username: snej (0.208527)                       repo: documentcloud/cloud-crowd (27)
        username: archaelus (0.208481)                  repo: rtomayko/rdiscount (27)
        username: showstopper (0.208424)                repo: tmm1/perftools.rb (26)
        username: hugoduncan (0.208193)                 repo: kr/beanstalkd (26)
        username: replay (0.207863)                     repo: mranney/node_redis (26)
        username: lenn0x (0.207504)                     repo: github/github-services (26)
        username: gnooth (0.207448)                     repo: ezmobius/chef-deploy (26)
        username: rlivsey (0.207383)                    repo: harukizaemon/hamster (26)
        username: jfarmer (0.207377)                    repo: schacon/ticgit (26)
        username: globaldev (0.207198)                  repo: Shopify/active_merchant (26)
        username: padolsey (0.207198)                   repo: github/linguist (26)
        username: fredreichbier (0.206895)              repo: btakita/rr (26)
        username: anandology (0.206797)                 repo: mojombo/clippy (26)
        username: jbonilla (0.206507)                   repo: sstephenson/prototype (26)
        username: alex (0.206441)                       repo: elixir-lang/elixir (26)
        username: enesf (0.206419)                      repo: opscode/ohai (26)
        username: EchoTeam (0.205909)                   repo: freelancing-god/thinking-sphinx (26)
        username: mtodd (0.205736)                      repo: haml/haml (26)
        username: tomwys (0.205628)                     repo: codahale/metrics (26)
        username: BigEd (0.205628)                      repo: danlucraft/git.js (26)
        username: inakata (0.205628)                    repo: mislav/coral (26)
        username: rsutphin (0.205628)                   repo: hookio/hook.io (26)
        username: radnor (0.205628)                     repo: voloko/uki (26)
        username: tciuro (0.205628)                     repo: jbarnette/isolate (26)
        username: bcandrea (0.205628)                   repo: ryanb/cancan (26)
        username: rlightner (0.205628)                  repo: rtomayko/rack-cache (25)
        username: fwhacking (0.205628)                  repo: subtleGradient/javascript-tools.tmbundle (25)
        username: davekeck (0.205628)                   repo: thoughtbot/clearance (25)
        username: h3xstream (0.205628)                  repo: extend/cowboy (25)
        username: luciferous (0.205628)                 repo: cloudhead/less (25)
        username: chemicaloliver (0.205628)             repo: simplegeo/polymaps (25)
        username: helenwilliamson (0.205628)            repo: kneath/kss (25)
        username: tylo42 (0.205628)                     repo: cappuccino/cappuccino (25)
        username: jamesgolick (0.205049)                repo: htty/htty (25)
        username: lukemelia (0.204966)                  repo: capttaco/Briefs (25)
        username: natekoechley (0.204946)               repo: integrity/integrity (25)
        username: twitter (0.204934)                    repo: tmm1/gdb.rb (25)
        username: h-lame (0.204732)                     repo: mojombo/chronic (25)
        username: bitprophet (0.204539)                 repo: django/django-old (25)
        username: qrush (0.204389)                      repo: pinax/pinax (25)
        username: dom96 (0.204166)                      repo: rtomayko/bcat (25)
        username: janl (0.204160)                       repo: mockko/livereload (25)
        username: basho (0.204137)                      repo: chrisk/fakeweb (25)
        username: joestump (0.203972)                   repo: fogus/marginalia (25)
        username: aperfect (0.203506)                   repo: devstructure/blueprint (25)
        username: mattly (0.203350)                     repo: mojombo/tomdoc (25)
        username: ngenworks (0.203239)                  repo: brianmario/mysql2 (25)
        username: kennytilton (0.203235)                repo: meskyanichi/backup (25)
        username: BrendanEich (0.203050)                repo: lloyd/yajl (24)
        username: ciaran (0.203036)                     repo: brianleroux/xui (24)
        username: AndrewO (0.202903)                    repo: michaeldv/awesome_print (24)
        username: necolas (0.202657)                    repo: rubyist/aasm (24)
        username: lukego (0.202581)                     repo: ajaxorg/ace (24)
        username: JEG2 (0.202400)                       repo: macournoyer/tinyrb (24)
        username: 3b (0.202315)                         repo: nateware/redis-objects (24)
        username: nzakas (0.202226)                     repo: github/develop.github.com (24)
        username: rkh (0.202033)                        repo: lifo/docrails (24)
        username: manveru (0.201748)                    repo: dannycoates/node-inspector (24)
        username: stubbornella (0.201733)               repo: mperham/sidekiq (24)
        username: stuarthalloway (0.201494)             repo: cliffmoon/dynomite (24)
        username: sinatra (0.200815)                    repo: parmanoir/jscocoa (24)
        username: philogb (0.200745)                    repo: orionz/minion (24)
        username: ccgus (0.200668)                      repo: defunkt/unicorn (24)
        username: jbarnette (0.200524)                  repo: protocool/AckMate (24)
        username: GrabNetworks (0.200322)               repo: django-debug-toolbar/django-debug-toolbar (24)
        username: cloudhead (0.200218)                  repo: headjs/headjs (24)
        username: mbostock (0.199972)                   repo: visionmedia/masteringnode (24)
        username: ryanking (0.199670)                   repo: twitter/finagle (24)
        username: karmi (0.199490)                      repo: mynyml/harmony (24)
        username: chriseppstein (0.199393)              repo: elasticsearch/elasticsearch (24)
        username: Sektor (0.199260)                     repo: igrigorik/em-synchrony (24)
        username: ldunn (0.199040)                      repo: madrobby/scripty2 (24)
        username: rvirding (0.198886)                   repo: ariya/phantomjs (24)
        username: kragen (0.198848)                     repo: tanoku/redcarpet (24)
        username: pleonasm (0.198553)                   repo: paulhammond/webkit2png (24)
        username: radiant (0.198553)                    repo: cowboy/grunt (24)
        username: marcoVermeulen (0.198553)             repo: mperham/dalli (24)
        username: KirinDave (0.198516)                  repo: mojombo/god (24)
        username: rsms (0.198213)                       repo: substack/dnode (23)
        username: moomerman (0.198199)                  repo: pry/pry (23)
        username: ooc (0.198033)                        repo: joewalnes/smoothie (23)
        username: brandenburgmk (0.197903)              repo: cgrand/enlive (23)
        username: aron (0.197224)                       repo: wycats/artifice (23)
        username: pager (0.197138)                      repo: fgnass/spin.js (23)
        username: techbelly (0.196685)                  repo: nodejitsu/node-http-proxy (23)
        username: ninefour (0.196578)                   repo: josh/rack-mount (23)
        username: allmarkedup (0.196454)                repo: rgrove/sanitize (23)
        username: nikodemus (0.196338)                  repo: kennethreitz/requests (23)
        username: indexzero (0.196189)                  repo: rtomayko/rpg (23)
        username: digg (0.196132)                       repo: jquery/testswarm (23)
        username: brianleroux (0.196088)                repo: assaf/vanity (23)
        username: jzaefferer (0.195708)                 repo: madrobby/vapor.js (23)
        username: tomtaylor (0.195357)                  repo: BigZaphod/Chameleon (23)
        username: nathanmarz (0.195087)                 repo: JuliaLang/julia (23)
        username: gemleaf74 (0.195015)                  repo: myronmarston/vcr (23)
        username: bdcaswell (0.195015)                  repo: wvanbergen/request-log-analyzer (23)
        username: ljsc (0.194129)                       repo: pallet/pallet (23)
        username: mechanicalgirl (0.194114)             repo: jashkenas/docco (23)
        username: mathiasbynens (0.194086)              repo: mongoid/mongoid (23)
        username: worrydream (0.194064)                 repo: petdance/ack (23)
        username: abhay (0.193899)                      repo: sunspot/sunspot (23)
        username: nilium (0.193876)                     repo: pixelmatrix/uniform (23)
        username: subtleGradient (0.193446)             repo: square/crossfilter (23)
        username: cliffmoon (0.193399)                  repo: andrewfromcali/mcinsight (23)
        username: joshknowles (0.193397)                repo: prawnpdf/prawn (23)
        username: rentzsch (0.193367)                   repo: bernerdschaefer/akephalos (23)
        username: marckysharky (0.193168)               repo: igrigorik/em-proxy (23)
        username: joehewitt (0.192943)                  repo: jcasimir/draper (23)
        username: blaine (0.192908)                     repo: newbamboo/panda (22)
        username: davidflanagan (0.192893)              repo: protocool/ack-tmbundle (22)
        username: kenfodder (0.192893)                  repo: schacon/git-scribe (22)
        username: brosner (0.192825)                    repo: defunkt/textmate.el (22)
        username: filiptepper (0.192815)                repo: NZKoz/cassandra_object (22)
        username: jimweirich (0.192534)                 repo: mperham/lunchy (22)
        username: ngerakines (0.192517)                 repo: clojure/core.logic (22)
        username: jmettraux (0.192487)                  repo: CloudMade/Leaflet (22)
        username: codepo8 (0.192468)                    repo: padrino/padrino-framework (22)
        username: yob (0.192389)                        repo: TwP/servolux (22)
        username: squil (0.192362)                      repo: documentcloud/jammit (22)
        username: DavidKinder (0.192362)                repo: toland/patron (22)
        username: bs (0.192308)                         repo: collectiveidea/delayed_job (22)
        username: courtenay (0.192296)                  repo: flyerhzm/bullet (22)
        username: ask (0.192026)                        repo: tobi/imagery (22)
        username: migurski (0.191841)                   repo: mojombo/erlectricity (22)
        username: membase (0.191401)                    repo: sitaramc/gitolite (22)
        username: raphaelbastide (0.191315)             repo: grempe/amazon-ec2 (22)
        username: straup (0.191192)                     repo: noahd1/oink (22)
        username: Ttech (0.191118)                      repo: jashkenas/ruby-processing (22)
        username: ujihisa (0.190983)                    repo: nathansobo/screw-unit (22)
        username: protocool (0.190828)                  repo: defunkt/ambition (22)
        username: entp (0.190666)                       repo: dhgamache/Skeleton (22)
        username: ja (0.190633)                         repo: addyosmani/backbone-fundamentals (22)
        username: cemerick (0.190591)                   repo: wycats/merb-plugins (22)
        username: snewman (0.190381)                    repo: ha/doozerd (22)
        username: lukeredpath (0.190314)                repo: visionmedia/jade (22)
        username: jnewland (0.190195)                   repo: 37signals/37s_cookbooks (22)
        username: ztellman (0.190158)                   repo: mislav/git-deploy (22)
        username: kswedberg (0.190095)                  repo: seancribbs/ripple (22)
        username: taryneast (0.190062)                  repo: ieure/sicp (22)
        username: snowblink (0.190048)                  repo: mongodb/mongo-ruby-driver (22)
        username: mape (0.190024)                       repo: jquery/qunit (22)
        username: rcrowley (0.189861)                   repo: luvit/luvit (22)
        username: gilesbowkett (0.189770)               repo: brynary/testjour (22)
        username: PeterWuMC (0.189650)                  repo: nakajima/slidedown (22)
        username: apeiros (0.189472)                    repo: TwP/turn (21)
        username: joshfrench (0.189300)                 repo: edgecase/ruby_koans (21)
        username: indeyets (0.189300)                   repo: torvalds/linux (21)
        username: alteredq (0.188992)                   repo: wycats/rack-offline (21)
        username: kevinweil (0.188989)                  repo: seancribbs/webmachine-ruby (21)
        username: dwiskus (0.188951)                    repo: joehewitt/scrollability (21)
        username: ianloic (0.188937)                    repo: joshaven/string_score (21)
        username: halorgium (0.188740)                  repo: edspencer/jaml (21)
        username: felixge (0.188668)                    repo: erikfrey/bashreduce (21)
        username: manuelpichler (0.188647)              repo: LauJensen/clojureql (21)
        username: timon (0.188647)                      repo: lloyd/JSONSelect (21)
        username: donavanm (0.188647)                   repo: bblimke/webmock (21)
        username: dan (0.188453)                        repo: atmos/hancock (21)
        username: cmelbye (0.188404)                    repo: saymedia/remoteobjects (21)
        username: kr (0.188307)                         repo: cloudfoundry/vcap (21)
        username: IanVaughan (0.188261)                 repo: sporkrb/spork (21)
        username: blindglobe (0.188192)                 repo: mongodb/mongo (21)
        username: cowboy (0.188182)                     repo: alloy/kicker (21)
        username: holydevil (0.187940)                  repo: apenwarr/git-subtree (21)
        username: pius (0.187905)                       repo: probablycorey/wax (21)
        username: matz (0.187903)                       repo: toastdriven/django-haystack (21)
        username: sproutit (0.187698)                   repo: schacon/ruby-git (21)
        username: benlovell (0.187680)                  repo: newrelic/rpm (21)
        username: leafo (0.187544)                      repo: Induction/Induction (21)
        username: cowmanifestation (0.187220)           repo: jezdez/textmate-missingdrawer (21)
        username: psoo (0.186878)                       repo: ryanb/ruby-warrior (21)
        username: ericholscher (0.186877)               repo: nesquena/rabl (21)
        username: jonmagic (0.186828)                   repo: pauldowman/gitmodel (21)
        username: timkelty (0.186656)                   repo: emberjs/ember.js (21)
        username: jdalton (0.186550)                    repo: AFNetworking/AFNetworking (21)
        username: justinlilly (0.186513)                repo: rubyspec/rubyspec (21)
        username: raganwald (0.186472)                  repo: django/django (21)
        username: jcoglan (0.186468)                    repo: danlucraft/redcar (21)
        username: hanshuebner (0.186391)                repo: basho/rebar (21)
        username: vito (0.186199)                       repo: benoitc/gunicorn (21)
        username: mattt (0.186071)                      repo: ice799/memprof (21)
        username: amitrathore (0.185960)                repo: defunkt/lyndon (21)
        username: roidrage (0.185936)                   repo: langalex/culerity (21)
        username: kevsmith (0.185912)                   repo: github/hubot-scripts (21)
        username: richcollins (0.185764)                repo: TwP/webby (21)
        username: joemccann (0.185696)                  repo: schacon/grack (21)
        username: tarcieri (0.185695)                   repo: ngauthier/hydra (21)
        username: seattlerb (0.185550)                  repo: bakkdoor/fancy (21)
        username: matthewpennell (0.185452)             repo: adamwiggins/sumo (21)
        username: quirkey (0.185438)                    repo: technoweenie/attachment_fu (21)
        username: dysinger (0.185347)                   repo: sferik/rails_admin (21)
        username: joshaber (0.185329)                   repo: jtrupiano/timecop (21)
        username: atmnyc (0.185280)                     repo: MacRuby/MacRuby (21)
        username: gigamonkey (0.185231)                 repo: raggi/async_sinatra (21)
        username: robmckinnon (0.185192)                repo: sstephenson/eco (21)
        username: saturnflyer (0.185163)                repo: rtomayko/dotfiles (21)
        username: kayleg (0.185160)                     repo: thatcher/env-js (20)
        username: liebke (0.185158)                     repo: chneukirchen/bacon (20)
        username: pauldix (0.185097)                    repo: felixge/node-dirty (20)
        username: scrooloose (0.185086)                 repo: FortAwesome/Font-Awesome (20)
        username: m3talsmith (0.185006)                 repo: spree/spree (20)
        username: briancarper (0.184994)                repo: bestiejs/lodash (20)
        username: dpp (0.184932)                        repo: technomancy/swank-clojure (20)
        username: swdunlop (0.184783)                   repo: thoughtbot/capybara-webkit (20)
        username: gordonbrander (0.184756)              repo: jruby/jruby (20)
        username: mikeal (0.184586)                     repo: WardCunningham/Smallest-Federated-Wiki (20)
        username: technicalpickles (0.184560)           repo: wycats/merb (20)
        username: radicalise (0.184550)                 repo: remy/html5demos (20)
        username: tommoor (0.184508)                    repo: maccman/bowline (20)
        username: rhulse (0.184402)                     repo: titanous/mailman (20)
        username: railstutorial (0.184402)              repo: chriskempson/tomorrow-theme (20)
